"rodada","amostra","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","metodo_pareamento","nome","correto","motivo_erro","trecho"
"regra_apertada_v1","20_alta_20_media","1","M2004_62910_13_65656_179","2005-03-12","alta","cassacao","nome_completo_no_trecho","SERGIO BENASSI",0,"cassacao_de_alvara_projeto_de_lei_do_vereador","Matérias adiadas de Reunião anterior. Incluído na pauta, a requerimento de urgência, devidamente aprovado: 04) 2ª Discussão e Votação do Projeto de Lei n. 04/04, Processo n. 140.689, de autoria do Sr. Vereador Sérgio Benassi, que “ Dispõe sobre a <<cassação>> de alvará de funcionamento de estabeleci"
"regra_apertada_v1","20_alta_20_media","2","M2020_58122_13_45629_190000873630","2023-12-12","alta","renuncia","nome_completo_no_trecho","WILSON ESPIRIDIÃO PIMENTA SAMPAIO",0,"renuncia_ao_cargo_de_vice_presidente_da_mesa","e regimentais; CONSIDERANDO a <<renúncia>> ao cargo de Vice-Presidente do vereador Wilson Espiridião Pimenta Sampaio, através do ofício 025/2023 lido perante ao plenário na 74º Sessão Ordinária do dia 12 de dezembro de 2023, na forma do artigo 27 do Regimento Interno da Câmara Municipal de Queimados"
"regra_apertada_v1","20_alta_20_media","3","M2020_74810_11_25_160001053085","2021-03-23","alta","falecimento","nome_completo_no_trecho","MARCELO FABIANI PUPPI",1,"","advogado e administrador de empresas. O prefeito Maurício foi vice-prefeito da cidade entre os anos de 2017/2020. Possui experiência de longa data em outros cargos do Poder Executivo de Campo Largo. Tomou posse em 19/01/2021 em razão do <<falecimento do Prefeito>> Marcelo Fabiani Puppi, do qual era "
"regra_apertada_v1","20_alta_20_media","4","M2024_62294_13_11777_250002126618","2025-07-17","alta","cassacao","nome_completo_no_trecho","JOSÉ FERMINO GROSSO",1,"","..................................................................................... PODER LEGISLATIVO Poder Legislativo Atos Legislativos Atos Legislativos Atos Atos ATO DO PRESIDENTE Nº 03/2.025 DE 17 DE JULHO DE 2.025. “Declara a <<perda do mandato>> e le t ivo do Vereador JOSÉ FERMINO GROSSO, n"
"regra_apertada_v1","20_alta_20_media","5","M2020_70050_13_19019_250000638585","2024-06-12","alta","cassacao","nome_completo_no_trecho","DANIEL FRAGA MOREIRA BERTANI",1,"","Parlamentar que decide pela <<cassação>> do Vereador Daniel Fraga Moreira Bertani (NOVO). O PRESIDENTE DA CÂMARA DA ESTÂNCIA TURÍSTICA DE SALTO, no uso das atribuições que lhes são conferidas por lei, promulga a seguinte Resolução: Artº1. Fica aprovado o relatório apresentado pela Comissão de Ética "
"regra_apertada_v1","20_alta_20_media","6","M2020_70050_13_13456_250000678250","2023-06-01","alta","cassacao","nome_completo_no_trecho","ANTONIO CORDEIRO DOS SANTOS",0,"cassacao_de_alvara_projeto_de_lei_do_vereador","números dos indicadores, metas físicas e de custos estimados dos anexos do Projeto de Lei e altera a redação do artigo 13 do Projeto de Lei nº 50 de 2023. - Projeto de Lei nº 55/2023 – Vereador Antônio Cordeiro dos Santos – Dispõe sobre a <<cassação>> do Alvará de Funcionamento e demais licenças do "
"regra_apertada_v1","20_alta_20_media","7","M2024_70750_13_23456_250002117533","2026-06-26","alta","licenca","nome_completo_no_trecho","JOÃO VICTOR VIANA PEREIRA",1,"","usando das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XV, do artigo 30, do Regimento Interno, a <<suplente de Vereador>> pelo Partido CIDADANIA, Sra. LIÂN"
"regra_apertada_v1","20_alta_20_media","8","M2020_62294_13_51000_250000943952","2024-04-10","alta","renuncia","nome_completo_no_trecho","JOSÉ LUIS BUCHALLA",0,"renuncia_a_presidencia_segue_vereador","C U L T U R A , AGRONEGÓCIOS, VICINAIS E DESENVOLVIMENTO RURAL. O Presidente da Câmara Municipal de Birigüi, Estado d e S ã o P a u l o , n o u s o d e a t r i b u i ç õ e s q u e l h e s ã o pertinentes, etc., tendo em vista a <<renúncia do vereador>> José Luis Buchalla e a nova eleição para presid"
"regra_apertada_v1","20_alta_20_media","9","M2012_43710_13_43444_130000084573","2015-02-04","alta","afastamento","nome_completo_no_trecho","RICARDO ROCHA DE FARIA",1,"","de Faria eleito pelo PV – Partido Verde, convocado nos termos do Artigo 33 inciso I do Regimento Interno em vigor nesta Casa Legislativa, para tomar posse no Cargo de Vereador da Câmara Municipal de Contagem, na vaga decorrente do afastamento por <<renúncia>> de mandato, do Vereador Ricardo Rocha de"
"regra_apertada_v1","20_alta_20_media","10","M2016_72257_13_45010_250000029675","2019-11-26","alta","licenca","nome_completo_no_trecho","FRANKLIN DUARTE DE LIMA",1,"","Finanças e Orçamento e a Comissão de Obras e Serviços Públicos. DALVA DIAS DA SILVA BERTO, Presidente da Câmara Municipal de Va- linhos, no uso de suas atribuições legais, com base no art. 36 do Regimento Interno da Câmara, Considerando <<licença do vereador>> Franklin Duarte de Lima pelo período de"
